Indicator,Group,State,Subgroup,Phase,Time Period,Time Period Label,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Quartile Range,Suppression Flag
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Hawaii,Hawaii,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,24.5,20.2,29.2,20.2 - 29.2,22.8-29.1,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Idaho,Idaho,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,13.2,10.9,15.8,10.9 - 15.8,13.0-15.7,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Illinois,Illinois,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,15.4,12.4,18.9,12.4 - 18.9,13.0-15.7,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Indiana,Indiana,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,15.9,13.1,19.1,13.1 - 19.1,15.8-18.6,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Iowa,Iowa,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,16.8,13.4,20.7,13.4 - 20.7,15.8-18.6,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Kansas,Kansas,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,14.0,11.2,17.1,11.2 - 17.1,13.0-15.7,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Kentucky,Kentucky,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,16.6,12.9,20.8,12.9 - 20.8,15.8-18.6,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Louisiana,Louisiana,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,17.9,14.3,21.8,14.3 - 21.8,15.8-18.6,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Maine,Maine,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,13.0,9.6,17.1,9.6 - 17.1,13.0-15.7,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Maryland,Maryland,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,23.5,19.7,27.6,19.7 - 27.6,22.8-29.1,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Massachusetts,Massachusetts,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,25.5,22.6,28.6,22.6 - 28.6,22.8-29.1,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Michigan,Michigan,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,18.0,15.3,21.0,15.3 - 21.0,15.8-18.6,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Minnesota,Minnesota,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,15.5,13.3,18.0,13.3 - 18.0,13.0-15.7,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Mississippi,Mississippi,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,17.3,12.7,22.7,12.7 - 22.7,15.8-18.6,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Missouri,Missouri,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,18.6,14.4,23.4,14.4 - 23.4,15.8-18.6,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Montana,Montana,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,15.4,11.4,20.1,11.4 - 20.1,13.0-15.7,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Nebraska,Nebraska,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,13.4,10.1,17.4,10.1 - 17.4,13.0-15.7,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Nevada,Nevada,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,22.7,19.0,26.8,19.0 - 26.8,18.7-22.7,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,New Hampshire,New Hampshire,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,18.9,15.0,23.4,15.0 - 23.4,18.7-22.7,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,New Jersey,New Jersey,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,22.3,18.1,26.8,18.1 - 26.8,18.7-22.7,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,New Mexico,New Mexico,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,23.5,19.2,28.2,19.2 - 28.2,22.8-29.1,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,New York,New York,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,21.4,17.4,25.9,17.4 - 25.9,18.7-22.7,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,North Carolina,North Carolina,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,17.5,14.7,20.6,14.7 - 20.6,15.8-18.6,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,North Dakota,North Dakota,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,15.7,10.2,22.8,10.2 - 22.8,13.0-15.7,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Ohio,Ohio,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,13.6,10.6,17.2,10.6 - 17.2,13.0-15.7,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Oklahoma,Oklahoma,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,15.2,11.9,18.9,11.9 - 18.9,13.0-15.7,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Oregon,Oregon,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,27.4,23.6,31.5,23.6 - 31.5,22.8-29.1,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,16.6,13.7,19.9,13.7 - 19.9,15.8-18.6,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Rhode Island,Rhode Island,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,25.0,18.9,32.0,18.9 - 32.0,22.8-29.1,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,South Carolina,South Carolina,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,17.9,15.0,21.0,15.0 - 21.0,15.8-18.6,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,South Dakota,South Dakota,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,13.2,9.5,17.7,9.5 - 17.7,13.0-15.7,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Tennessee,Tennessee,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,21.2,17.9,24.9,17.9 - 24.9,18.7-22.7,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Texas,Texas,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,21.2,18.8,23.8,18.8 - 23.8,18.7-22.7,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Utah,Utah,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,17.8,14.2,21.9,14.2 - 21.9,15.8-18.6,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Vermont,Vermont,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,25.3,19.7,31.6,19.7 - 31.6,22.8-29.1,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Virginia,Virginia,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,18.8,15.4,22.6,15.4 - 22.6,18.7-22.7,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Washington,Washington,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,20.0,17.6,22.6,17.6 - 22.6,18.7-22.7,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,West Virginia,West Virginia,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,17.0,12.8,21.9,12.8 - 21.9,15.8-18.6,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Wisconsin,Wisconsin,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,13.7,10.9,17.0,10.9 - 17.0,13.0-15.7,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Wyoming,Wyoming,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,13.5,10.3,17.2,10.3 - 17.2,13.0-15.7,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",National Estimate,United States,United States,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,16.7,15.6,17.8,15.6 - 17.8,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Education of adult respondent,United States,High school diploma or GED or lower,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,14.5,12.2,16.9,12.2 - 16.9,,
"Adults Who Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Age,United States,80 years and above,3.5,48,"Jul 27 - Aug 8, 2022",07/27/2022,08/08/2022,31.1,21.9,41.6,21.9 - 41.6,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Education of adult respondent,United States,Some college/Associate's degree,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,18.1,16.4,19.8,16.4 - 19.8,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Education of adult respondent,United States,Bachelor's degree or higher,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,17.6,16.5,18.7,16.5 - 18.7,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity of adult respondent,United States,Hispanic or Latino,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,18.3,15.4,21.5,15.4 - 21.5,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity of adult respondent,United States,"Non-Hispanic White, single race",3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,15.2,14.0,16.4,14.0 - 16.4,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity of adult respondent,United States,"Non-Hispanic Black, single race",3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,18.4,15.6,21.5,15.6 - 21.5,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity of adult respondent,United States,"Non-Hispanic Asian, single race",3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,19.9,16.0,24.3,16.0 - 24.3,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Race/Hispanic ethnicity of adult respondent,United States,"Non-Hispanic, other races and multiple races",3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,20.0,15.8,24.8,15.8 - 24.8,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Current US Armed Forces or National Guard service of adult respondent or spouse,United States,Yes,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,13.5,7.8,21.1,7.8 - 21.1,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Current US Armed Forces or National Guard service of adult respondent or spouse,United States,No,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,16.7,15.6,17.9,15.6 - 17.9,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Health insurance of adult respondent,United States,Private only,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,16.4,15.3,17.6,15.3 - 17.6,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Health insurance of adult respondent,United States,Any public,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,18.1,15.9,20.5,15.9 - 20.5,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Health insurance of adult respondent,United States,No insurance,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,12.9,9.9,16.5,9.9 - 16.5,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Total household income,United States,"Less than $25,000",3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,17.3,14.4,20.5,14.4 - 20.5,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Total household income,United States,"$25,000 - $34,999",3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,17.3,13.6,21.4,13.6 - 21.4,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Total household income,United States,"$35,000 - $49,999",3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,20.4,16.7,24.4,16.7 - 24.4,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Total household income,United States,"$50,000 - $74,999",3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,17.2,14.3,20.3,14.3 - 20.3,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Total household income,United States,"$75,000 - $99,999",3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,14.0,11.4,17.0,11.4 - 17.0,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Total household income,United States,"$100,000 - $149,999",3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,15.8,13.5,18.2,13.5 - 18.2,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Total household income,United States,"$150,000 - $199,999",3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,17.2,14.3,20.4,14.3 - 20.4,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Total household income,United States,"$200,000 and above",3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,17.7,15.1,20.6,15.1 - 20.6,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By Total household income,United States,Did not report,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,14.6,12.0,17.6,12.0 - 17.6,,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Alabama,Alabama,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,20.2,11.8,31.0,11.8 - 31.0,18.8-25.5,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Alaska,Alaska,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,15.0,9.9,21.4,9.9 - 21.4,11.9-17.0,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Arizona,Arizona,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,18.3,13.3,24.2,13.3 - 24.2,17.1-18.7,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Arkansas,Arkansas,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,9.3,4.6,16.3,4.6 - 16.3,<=11.8,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,California,California,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,19.8,16.1,24.0,16.1 - 24.0,18.8-25.5,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Colorado,Colorado,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,15.8,11.0,21.6,11.0 - 21.6,11.9-17.0,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Connecticut,Connecticut,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,19.9,14.6,26.1,14.6 - 26.1,18.8-25.5,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Delaware,Delaware,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,21.5,15.0,29.3,15.0 - 29.3,18.8-25.5,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,District of Columbia,District of Columbia,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,22.6,12.4,35.8,12.4 - 35.8,18.8-25.5,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Florida,Florida,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,18.2,12.9,24.7,12.9 - 24.7,17.1-18.7,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Georgia,Georgia,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,20.3,14.3,27.4,14.3 - 27.4,18.8-25.5,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Hawaii,Hawaii,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,22.9,13.8,34.2,13.8 - 34.2,18.8-25.5,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Idaho,Idaho,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,10.8,6.5,16.7,6.5 - 16.7,<=11.8,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Illinois,Illinois,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,19.0,13.4,25.8,13.4 - 25.8,18.8-25.5,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Indiana,Indiana,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,11.8,8.3,16.0,8.3 - 16.0,<=11.8,
"Households With Children Where Any Child Had Appointment with Health Professional Over Video or Phone, Last 4 Weeks",By State,Iowa,Iowa,3.2,38,"Sep 15 - Sep 27, 2021",09/15/2021,09/27/2021,10.1,5.6,16.3,5.6 - 16.3,<=11.8,
